GeoFips,GeoName,2017,2018,2019,2020,2021,2022
00998,United States (Metropolitan Portion),17619114703,18160699656,18625722380,18212598753,19311168551,19713767389
10180,"Abilene, TX (Metropolitan Statistical Area)",6827152,7141273,7426609,7354374,7573774,7894587
10420,"Akron, OH (Metropolitan Statistical Area)",36424857,36883382,37471099,36099097,37510049,37703093
10500,"Albany, GA (Metropolitan Statistical Area)",5693673,5702355,5839867,5797644,6068572,6096378
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",4505965,4802294,4921026,4788775,4893295,4996612
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",61024034,61119269,64250467,62574116,66759654,68358828
10740,"Albuquerque, NM (Metropolitan Statistical Area)",41881258,42671307,43913664,43194744,45285850,46217770
10780,"Alexandria, LA (Metropolitan Statistical Area)",6081708,6161095,6146501,6020969,6127753,6018123
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",44541436,44764523,46551226,44681775,46291035,46645419
11020,"Altoona, PA (Metropolitan Statistical Area)",5849536,5944931,6080921,5915856,6114417,6106454
11100,"Amarillo, TX (Metropolitan Statistical Area)",13044032,13439341,13720828,13809049,14317913,14333013
11180,"Ames, IA (Metropolitan Statistical Area)",6445208,6563479,6654268,6569456,6851748,6824887
11260,"Anchorage, AK (Metropolitan Statistical Area)",25842697,26029809,25950062,25373518,26090195,26076646
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",24040003,24649772,25481406,24988323,26314261,26780892
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",4244400,4342966,4555074,4461364,4624647,4608415
11540,"Appleton, WI (Metropolitan Statistical Area)",13810008,14241692,14583478,13938476,14309091,14195868
11700,"Asheville, NC (Metropolitan Statistical Area)",19857995,20527515,21417415,20262554,21458369,22106552
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",9980018,10330759,10263944,9826824,10364639,10603877
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",398208502,413028711,429945844,414749739,442449357,455333217
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",13521560,13616155,13791800,12986077,14017564,14199892
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",6138724,6112260,6342058,6187153,6561345,6860502
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",27076189,27499759,27974192,27765735,28260356,28397603
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",141102903,149306992,158684309,163074856,180240561,193632474
12540,"Bakersfield, CA (Metropolitan Statistical Area)",43812095,43894460,45414089,45439983,45334031,43822046
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",198332437,200409767,201674700,194651261,204204808,208025373
12620,"Bangor, ME (Metropolitan Statistical Area)",6360893,6599941,6762485,6783030,7003554,7141018
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",12764776,13042121,13537095,12654827,13490964,13771725
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",52326375,55749428,54607468,50510254,51156830,51649199
12980,"Battle Creek, MI (Metropolitan Statistical Area)",6450941,6467348,6411827,6372022,6912586,6984617
13020,"Bay City, MI (Metropolitan Statistical Area)",3539706,3631822,3535699,3549806,3841031,3851098
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",24454169,25657246,25098948,21736691,22261112,21846800
13220,"Beckley, WV (Metropolitan Statistical Area)",3990112,4064980,4184828,3918031,4023333,4237478
13380,"Bellingham, WA (Metropolitan Statistical Area)",11651236,12557637,13655023,14158405,14284199,13584365
13460,"Bend, OR (Metropolitan Statistical Area)",9523750,9881699,10463829,10479459,11519814,11781026
13740,"Billings, MT (Metropolitan Statistical Area)",10233635,10293847,10047428,9851083,10488730,10149285
13780,"Binghamton, NY (Metropolitan Statistical Area)",10763033,10788110,11024592,10409823,10715948,10773238
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",60645897,61853013,62865011,62129272,65260617,66208546
13900,"Bismarck, ND (Metropolitan Statistical Area)",7656673,7518448,7452829,7152114,7387662,7256824
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",7016349,7365216,7264354,7052736,7598638,7911246
14010,"Bloomington, IL (Metropolitan Statistical Area)",14476949,14530626,14906310,12328380,12368351,12402490
14020,"Bloomington, IN (Metropolitan Statistical Area)",7406889,7670488,7588407,7282855,7517075,7783998
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",4409987,4390928,4502269,4284974,4464452,4557086
14260,"Boise City, ID (Metropolitan Statistical Area)",32266790,34798490,36495225,37045260,40145338,42279241
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",433844401,451335935,467519922,460535204,492998949,504104614
14500,"Boulder, CO (Metropolitan Statistical Area) *",26255861,27218834,29675687,29149041,31164647,32366443
14540,"Bowling Green, KY (Metropolitan Statistical Area)",7184469,7130833,7484003,7421699,7933371,8338292
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",11972570,12262750,12396819,12734085,13081004,13211612
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",91838477,90874828,88934335,83855524,87235525,90361060
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",10734203,10950425,11200319,10912927,11660469,12032752
15260,"Brunswick, GA (Metropolitan Statistical Area)",4534646,4697516,4615626,4508473,4810326,4906786
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",66331075,66983121,68811628,66831543,69328962,71301164
15500,"Burlington, NC (Metropolitan Statistical Area)",6087842,6124774,6295903,6302066,6674694,6674713
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",13704166,13933008,14192895,13681245,14582139,15014095
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",7354343,7391917,7535678,7859546,7844387,7671853
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",18122356,17881022,18191600,17171476,18081547,18083356
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",31283529,32564768,33089321,33048241,35789303,37489983
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",4326578,4420708,4430209,4281206,4422321,4416653
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",5592572,5744517,5738902,5490804,5561229,5773378
16180,"Carson City, NV (Metropolitan Statistical Area)",3397457,3474293,3694536,3507173,3582260,3627950
16220,"Casper, WY (Metropolitan Statistical Area)",5594566,5920361,5678124,5070249,5001565,4988595
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",18322704,18657739,18307608,17878743,18846932,18854040
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",6302357,6400028,6238670,5947734,6101218,6162110
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",11567426,11476322,11607622,11410051,11817541,12084721
16620,"Charleston, WV (Metropolitan Statistical Area)",12811681,13532732,12864407,12063490,12391989,12566527
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",41712863,43397855,45108303,44302237,46532802,48651423
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",168119917,171575711,177257582,179456155,190503528,194261991
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",13408130,13679393,13743783,13188918,14344675,14820039
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",29616001,29878030,30328402,30203799,32135319,34002507
16940,"Cheyenne, WY (Metropolitan Statistical Area)",5428708,5727043,6009411,5664112,5986116,5846867
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",674568186,691185754,697333633,659808286,696359946,705658963
17020,"Chico, CA (Metropolitan Statistical Area)",9181452,9272932,9447628,8878582,9070391,9106972
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",145242197,145312363,152466652,149378970,155513292,157023758
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",12303121,12435834,12615947,12692257,13491471,13632128
17420,"Cleveland, TN (Metropolitan Statistical Area)",4678425,4720435,4722087,4866520,5103060,5189432
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",128644607,130644968,133967383,129098200,135547013,138260106
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",6045951,6422914,6575138,6883769,7661498,7948925
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",12461621,12996849,13580356,13563901,14174399,14510248
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",35086959,36241661,37712025,38854813,40926166,41331392
17860,"Columbia, MO (Metropolitan Statistical Area)",9957674,10019553,10422519,10111109,10610366,10611705
17900,"Columbia, SC (Metropolitan Statistical Area)",41010232,41651691,42416718,42243846,44430065,45542683
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",14601270,14626897,14869675,14714617,14919089,14452429
18020,"Columbus, IN (Metropolitan Statistical Area)",6366981,6845733,6780298,6283094,6538720,6996930
18140,"Columbus, OH (Metropolitan Statistical Area)",129945459,131537720,135606719,134047931,143197874,144464484
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",21073008,21758642,22343137,21358158,22092132,21041917
18700,"Corvallis, OR (Metropolitan Statistical Area)",4318847,4519396,4601570,4518078,4721965,4770134
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",14385761,14991042,15862463,16298081,17870178,18345980
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",3790007,3852561,3866718,3733268,3745774,3663150
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",483732021,506219605,525852321,519282910,560290164,592452179
19140,"Dalton, GA (Metropolitan Statistical Area)",6885582,6843613,6878107,6669749,7034767,7267848
19180,"Danville, IL (Metropolitan Statistical Area)",3203166,3211115,3200616,3045323,3155857,3225783
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",7382558,7758980,8148786,8102009,8738819,8924207
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",21554709,21409425,21587953,21147871,21649139,21598562
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",42546733,43183270,44585566,43928550,45492566,45837053
19460,"Decatur, AL (Metropolitan Statistical Area)",6090215,6217087,6171068,6296611,6432853,6596915
19500,"Decatur, IL (Metropolitan Statistical Area)",6950487,6752927,6477282,6303815,6870929,7020859
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",20582041,21185572,21617720,21845414,23013290,23588133
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",202210170,211192596,222301876,223271130,239402096,249653294
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",51811153,51930218,53815922,55169453,58996258,57782839
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",256207316,261548084,261186301,250060724,264723150,269531726
20020,"Dothan, AL (Metropolitan Statistical Area)",6355776,6409091,6541798,6593419,6848500,6715726
20100,"Dover, DE (Metropolitan Statistical Area)",7633026,7813320,8384005,8000617,8254518,8312232
20220,"Dubuque, IA (Metropolitan Statistical Area)",6389591,6378942,6624026,6772031,7048913,6866230
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",13554938,13868115,14152130,13420343,13889180,13820933
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",46431099,48726823,50043513,51328512,54380184,56136888
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",7597383,7669423,8263470,7897182,8360429,8325939
20740,"Eau Claire, WI (Metropolitan Statistical Area)",8949759,9144818,9337250,8846127,9138281,9188956
20940,"El Centro, CA (Metropolitan Statistical Area)",8039122,8000968,8285950,8639503,8201308,8517940
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",5939236,5878170,6049395,5967831,6322973,6411278
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",16441996,16607681,16064684,15661587,18720820,20013141
21300,"Elmira, NY (Metropolitan Statistical Area)",3691136,3741851,3743192,3525046,3632541,3638009
21340,"El Paso, TX (Metropolitan Statistical Area)",30409532,31352307,32635022,32605878,34497923,34909594
21420,"Enid, OK (Metropolitan Statistical Area)",2849100,2805923,2795832,2632022,2774090,2707603
21500,"Erie, PA (Metropolitan Statistical Area)",11500326,11600425,11677494,10980387,11164431,11189002
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",15867405,16302256,16363906,16258193,17375993,17551013
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",17861300,18372489,19411702,18468389,20100003,19588954
21820,"Fairbanks, AK (Metropolitan Statistical Area)",5765988,5667136,5668703,5462327,5646088,5532492
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",14963357,15069720,15405125,14904121,15636755,15647269
22140,"Farmington, NM (Metropolitan Statistical Area)",5756828,5571010,5623271,5198248,5137504,5170931
22180,"Fayetteville, NC (Metropolitan Statistical Area)",20429752,20637146,21116877,21156903,21991344,21818187
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",26264981,27042602,27665953,28797244,31427375,32339332
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",7898455,7901190,7675239,6954326,7483588,7696628
22420,"Flint, MI (Metropolitan Statistical Area)",15931552,16335674,16614426,15314342,15693584,15582622
22500,"Florence, SC (Metropolitan Statistical Area)",9628359,9651397,9847112,9613005,9919433,9903479
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",5105162,5215298,5216676,5157194,5305740,5408088
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",5100413,5214222,5278635,5020548,5150611,5174306
22660,"Fort Collins, CO (Metropolitan Statistical Area)",18593761,19479555,20425737,20431541,21886159,22240217
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",9252836,9477180,9627289,9527869,9841496,10013526
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",22444587,23295008,23463172,21765351,23326616,24291646
23420,"Fresno, CA (Metropolitan Statistical Area)",42568888,43779278,44985158,44298577,45813064,45388356
23460,"Gadsden, AL (Metropolitan Statistical Area)",3095515,3131025,3067345,2835555,2900784,2924073
23540,"Gainesville, FL (Metropolitan Statistical Area)",14483506,14965419,15335342,15386140,16325859,16690497
23580,"Gainesville, GA (Metropolitan Statistical Area)",10517593,11029043,11294935,11587468,12133816,12920593
23900,"Gettysburg, PA (Metropolitan Statistical Area)",4038383,3939119,3856485,3657037,3773754,3691765
24020,"Glens Falls, NY (Metropolitan Statistical Area)",6115481,6111027,6491649,6375126,6675211,6720621
24140,"Goldsboro, NC (Metropolitan Statistical Area)",4893997,4869720,4868486,4745323,4947218,4950904
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",5409304,5431145,5474118,5323252,5441765,5368617
24260,"Grand Island, NE (Metropolitan Statistical Area)",4050138,4106450,4122827,4078165,4450402,4402217
24300,"Grand Junction, CO (Metropolitan Statistical Area)",6404009,6686313,6825311,6634541,6885621,6892730
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",58890732,60849854,61033814,60201782,64352072,65941106
24420,"Grants Pass, OR (Metropolitan Statistical Area)",2650085,2764830,2946930,2897886,3049886,3055792
24500,"Great Falls, MT (Metropolitan Statistical Area)",3715757,3765477,3719741,3680001,3780633,3857222
24540,"Greeley, CO (Metropolitan Statistical Area) *",18534036,20592662,21722559,19737477,20178684,18410721
24580,"Green Bay, WI (Metropolitan Statistical Area)",20005038,20648388,20744835,20180973,20603639,20814767
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",41215571,41409745,41097715,39588474,41004184,41405551
24780,"Greenville, NC (Metropolitan Statistical Area)",9658131,9399113,9293680,8989861,9243013,9399400
24860,"Greenville-Anderson, SC (Metropolitan Statistical Area)",43798842,45521410,46232392,45145826,47174321,48530348
25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",17329568,16998219,17452637,17818342,18617250,18726497
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",11326919,11663887,11464680,10918927,11597559,11561095
25220,"Hammond, LA (Metropolitan Statistical Area)",4086210,4096259,4338972,4222957,4382166,4299158
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",6443298,6336899,6453745,6550767,6591539,6607669
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",38684588,39391581,40622816,38618383,40605053,40958399
25500,"Harrisonburg, VA (Metropolitan Statistical Area) *",7664982,7859692,7984577,7590097,8204969,8693159
25540,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",100616750,100887989,101367875,93964687,97900840,100979358
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",6262313,6249222,6147668,6054546,6488415,6536818
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",15103484,14923589,14772281,14427958,14896449,15129685
25940,"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",8876622,9319395,9661382,9965023,10392469,10487742
25980,"Hinesville, GA (Metropolitan Statistical Area)",3790848,3833459,3849010,3756922,4070118,4007477
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",3704389,3890477,4147491,4208962,4459685,4615213
26300,"Hot Springs, AR (Metropolitan Statistical Area)",3297461,3379134,3432909,3396356,3488827,3498943
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",9241061,9579891,9539175,8952035,8820956,8814465
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",470676136,491166782,484359415,476638820,500984295,513276462
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",14669576,15381602,15630673,14396110,14700886,14598031
26620,"Huntsville, AL (Metropolitan Statistical Area)",27520607,28602244,30151314,30667180,32306829,33486281
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",7361547,8111156,8949739,9008901,9137295,9286522
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",135881902,140736192,144383679,142339466,151510429,156532528
26980,"Iowa City, IA (Metropolitan Statistical Area)",10820185,10918793,10828353,10362584,10662671,10765770
27060,"Ithaca, NY (Metropolitan Statistical Area)",6140234,6184849,6298392,5770441,6003916,6333133
27100,"Jackson, MI (Metropolitan Statistical Area)",5986766,6319957,6546808,6366847,6877822,6764879
27140,"Jackson, MS (Metropolitan Statistical Area)",27649880,27640828,27543835,27363955,28383035,28663045
27180,"Jackson, TN (Metropolitan Statistical Area)",8258298,8289197,8394582,8283691,8839508,8846033
27260,"Jacksonville, FL (Metropolitan Statistical Area)",80341696,82993748,86377683,87856849,94322715,99472666
27340,"Jacksonville, NC (Metropolitan Statistical Area)",8335011,8412503,8565803,8669727,9098987,9039244
27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",6935931,7300585,7509709,7466909,7687625,7784497
27620,"Jefferson City, MO (Metropolitan Statistical Area)",7593521,7670253,8094729,7874225,7720115,8053746
27740,"Johnson City, TN (Metropolitan Statistical Area)",7311684,7446435,7651759,7689661,8241669,8359541
27780,"Johnstown, PA (Metropolitan Statistical Area)",4692840,4697005,4682004,4615588,4626528,4606726
27860,"Jonesboro, AR (Metropolitan Statistical Area)",5105989,5234530,5408759,5458361,5936950,5798774
27900,"Joplin, MO (Metropolitan Statistical Area)",7558956,7656330,7580755,7268671,7600313,7723879
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",9606468,10183573,10407877,8558733,9459908,9692556
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",13678676,14546835,14955523,15060387,16058496,16352859
28100,"Kankakee, IL (Metropolitan Statistical Area)",5940652,6332562,6262410,6140372,6679390,6876837
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",133753933,136390868,139724576,137218306,141666330,145950370
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",14688220,15221366,15745176,15402986,16192367,16207971
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",18366880,18495677,18834637,19166630,19966937,20162704
28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",13292994,13679790,13316989,13289225,14303997,14831190
28740,"Kingston, NY (Metropolitan Statistical Area)",7233714,7326583,7630419,7196814,7429326,7659189
28940,"Knoxville, TN (Metropolitan Statistical Area)",43011276,44070389,44952370,45119424,48680233,50422455
29020,"Kokomo, IN (Metropolitan Statistical Area)",4279358,4391576,4386884,4135308,4497728,4951309
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",7962972,8098515,8213299,7905209,8136049,8117361
29180,"Lafayette, LA (Metropolitan Statistical Area)",21115560,22041983,21834533,20926340,21202980,21023124
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",11076645,11727598,11805244,11106663,11485626,12090003
29340,"Lake Charles, LA (Metropolitan Statistical Area)",16643123,16397626,16834958,13625578,14249067,13299124
